state,intv_id,policy_name,policy_type,feature,change_pct,causal,cost_tier,feasibility,time_horizon,base_prob,cf_prob,abs_effect,rel_effect,risk_tier,description,score,irm_stable
Andaman and Nicobar Islands,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Andaman and Nicobar Islands,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Andaman and Nicobar Islands,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Andaman and Nicobar Islands,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Andaman and Nicobar Islands,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Andaman and Nicobar Islands,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Andhra Pradesh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.279,0.279,0.0,0.0,MODERATE,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Andhra Pradesh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.279,0.279,0.0,0.0,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Andhra Pradesh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.279,0.279,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Andhra Pradesh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.279,0.279,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,False
Andhra Pradesh,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.279,0.279,0.0,0.0,MODERATE,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Andhra Pradesh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.279,0.279,0.0,0.0,MODERATE,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Arunachal Pradesh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Arunachal Pradesh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Arunachal Pradesh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Arunachal Pradesh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Arunachal Pradesh,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Arunachal Pradesh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Assam,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Assam,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Assam,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Assam,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Assam,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Assam,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Bihar,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.9768,0.5673,-0.4095,-41.93,CRITICAL,Intensive case finding + treatment completion to reduce active TB cases by 40%,25.807999999999996,True
Bihar,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.9768,0.5673,-0.4095,-41.93,CRITICAL,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,26.208,True
Bihar,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.9768,0.9768,0.0,0.0,CRITICAL,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Bihar,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.9768,0.9768,0.0,0.0,CRITICAL,Expand DOTS network to increase case detection rate by 20%,1.2,False
Bihar,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.9768,0.9768,0.0,0.0,CRITICAL,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Bihar,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.9768,0.9768,0.0,0.0,CRITICAL,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Chandigarh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Chandigarh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Chandigarh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Chandigarh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Chandigarh,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Chandigarh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Chhattisgarh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Chhattisgarh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Chhattisgarh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Chhattisgarh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Chhattisgarh,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Chhattisgarh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Dadra and Nagar Haveli and Daman and Diu,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Dadra and Nagar Haveli and Daman and Diu,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Dadra and Nagar Haveli and Daman and Diu,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Dadra and Nagar Haveli and Daman and Diu,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Dadra and Nagar Haveli and Daman and Diu,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Dadra and Nagar Haveli and Daman and Diu,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Delhi,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.2583,0.2583,0.0,0.0,MODERATE,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Delhi,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2583,0.2583,0.0,0.0,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Delhi,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2583,0.2583,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Delhi,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2583,0.2583,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,False
Delhi,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.2583,0.2583,0.0,0.0,MODERATE,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Delhi,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.2583,0.2583,0.0,0.0,MODERATE,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Goa,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Goa,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Goa,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Goa,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Goa,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Goa,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Gujarat,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.2805,0.2805,0.0,0.0,MODERATE,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Gujarat,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2805,0.2805,0.0,0.0,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Gujarat,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2805,0.2805,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Gujarat,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2805,0.2805,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,False
Gujarat,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.2805,0.2805,0.0,0.0,MODERATE,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Gujarat,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.2805,0.2805,0.0,0.0,MODERATE,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Haryana,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.2144,0.2144,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Haryana,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2144,0.2144,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
